accuracy,precision,recall,f1_score,support
1.2863267493492574,0.9411167512690355,0.9935691318327974,0.9666319082377475,6531
1.270249578931251,0.9553625837903718,0.9601898637268412,0.9577701412752959,6531
1.2648905221252489,0.95849405955871,0.951156025111009,0.954810943744236,6531
1.2772929107334252,0.9504935686509124,0.9730516000612464,0.961640311719755,6531
1.2650436380339918,0.962352209085252,0.9471750114836932,0.9547032950073309,6531
1.2808145766345123,0.9592890779279963,0.9669269637115296,0.9630928778404758,6531
1.2906139947940591,0.9494043241653184,0.9883631909355381,0.9684921230307576,6531
1.283264431174399,0.9507806691449814,0.9790231205022202,0.9646952323476161,6531
1.2860205175317716,0.9555056179775281,0.9765732659623335,0.9659245797364835,6531
1.2881641402541724,0.9555987442069068,0.9787168886847344,0.9670196671709531,6531
1.2893890675241158,0.9532155057181049,0.9826979023120502,0.9677322074788902,6531
1.2465166130760985,0.9758130413466253,0.9142550911039657,0.9440316205533598,6531
1.1955290154647067,0.9837856891082128,0.8546930026029704,0.9147070872593199,6531
1.2929107334252028,0.9608787240445381,0.9777981932322768,0.9692646277604917,6531
1.2915326902465165,0.9658796648895659,0.9709079773388455,0.9683872938301771,6531
1.257234726688103,0.9788720949130505,0.9222171183585974,0.9497004099653106,6531
1.2896952993416015,0.957714799820063,0.9779513091410198,0.9677272727272729,6531
1.2650436380339918,0.9733991717107359,0.9356913183279743,0.9541728472168007,6531
1.2645842903077629,0.9752039673652215,0.9333945796968305,0.953841339383508,6531
1.3034757311284642,0.9658595277485336,0.9833103659470219,0.9745068285280728,6531
1.2896952993416015,0.9669573198715007,0.9678456591639871,0.9674012855831039,6531
1.2967386311437759,0.9671882120613702,0.9748889909661614,0.9710233338416959,6531
1.3060787015770938,0.9613784907902555,0.9909661613841678,0.9759481263665838,6531
1.2771397948246823,0.9785475925631654,0.9428877660388915,0.9603867747972552,6531
1.3008727606798347,0.9713152273420812,0.9747358750574184,0.973022544898739,6531
1.2916858061552596,0.9763313609467456,0.9600367478180983,0.9681154944800432,6531
1.3025570356760068,0.9690768531150523,0.9788700045934773,0.9739488117001829,6531
1.2970448629612616,0.9722179585571757,0.9698361659776451,0.9710256017170015,6531
1.2788240698208544,0.977675744141862,0.945490736487521,0.9613139254300613,6531
1.3063849333945796,0.9663764635244672,0.9857602204869086,0.9759721064200712,6531
1.2998009493186342,0.9743274404304382,0.9704486296126168,0.972384166922369,6531
1.2921451538814883,0.9776806617761823,0.9591180523656407,0.9683104034626681,6531
1.304088194763436,0.9757482732156562,0.9733578318787321,0.9745515866932393,6531
1.3065380493033225,0.9744999236524661,0.9771857295973052,0.9758409785932722,6531
1.2751492880110245,0.9842088301643571,0.9352319706017456,0.9590955484022926,6531
1.2681059562088501,0.9768148385033578,0.9353850865104885,0.9556511536957372,6531
1.28908283570663,0.9804693652543708,0.9531465319246669,0.9666149068322981,6531
1.3054662379421222,0.9695915279878972,0.981319859133364,0.9754204398447608,6531
1.2976573265962335,0.9766217680755535,0.9658551523503291,0.971208622016936,6531
1.296585515235033,0.9780783582089553,0.9632521819016996,0.9706086554038417,6531
1.2898484152503444,0.9731866088034717,0.9614147909967846,0.9672648848494185,6531
1.300260297044863,0.9824945295404814,0.962486602357985,0.9723876556578235,6531
1.3008727606798347,0.9752307692307692,0.9706017455213597,0.9729107512853964,6531
1.3024039197672639,0.9789473684210527,0.9683050068902159,0.9735971056885537,6531
1.281580156178227,0.9852469531751122,0.9407441433164906,0.9624813973525495,6531
1.2555504516919307,0.9885382059800665,0.9111927729291074,0.9482909728308502,6531
1.2912264584290307,0.9803613511390417,0.9554432705558108,0.967741935483871,6531
1.2886234879804013,0.9832012678288431,0.9499310978410657,0.9662798847441788,6531
1.3013321084060634,0.9796678565885457,0.9664676159853008,0.9730229690149529,6531
1.2772929107334252,0.9788553259141495,0.9427346501301486,0.9604555026908977,6531
