precision,recall,f1_score,support
0.9029913335197093,0.9725986148750376,0.936503334299797,3321
0.9169560185185185,0.9542306534176452,0.9352220746643057,3321
0.9468121377429254,0.8361939174947305,0.8880716341541414,3321
0.9628987517337032,0.8361939174947305,0.8950846091861403,3321
0.9541369693213511,0.9271303824149353,0.9404398289554062,3321
0.9470160116448326,0.9795242396868413,0.96299585553582,3321
0.955952380952381,0.9671785606744956,0.9615327046849275,3321
0.9634340222575517,0.912375790424571,0.9372100216517166,3321
0.9468822170900693,0.9876543209876543,0.9668386145910095,3321
0.9560082669028639,0.9750075278530563,0.9654144305307096,3321
0.9459691252144082,0.996386630532972,0.970523537175539,3321
0.9660697455230914,0.9259259259259259,0.9455719557195572,3321
0.9605866177818515,0.9467028003613369,0.9535941765241127,3321
0.9423573272153714,0.9894610057211684,0.9653349001175089,3321
0.9652200677131425,0.9442938873833183,0.9546423135464231,3321
0.9650981614210035,0.9325504366154773,0.9485451761102603,3321
0.963751247090123,0.8726287262872628,0.9159292035398231,3321
0.9503484320557491,0.985546522131888,0.9676274944567628,3321
0.9501160092807425,0.986449864498645,0.9679420889348501,3321
0.9561091340450771,0.9707919301415237,0.9633945913641117,3321
0.9533255542590432,0.9840409515206263,0.9684397688546451,3321
0.962378640776699,0.9551339957844023,0.9587426326129665,3321
0.9658983264919482,0.9211080999698886,0.9429716399506781,3321
0.9484804630969609,0.9867509786208973,0.967237308146399,3321
0.948394495412844,0.9960855164107196,0.9716551622852108,3321
