precision,recall,f1_score,support
0.8230827638572513,0.9550660792951542,0.8841761827079935,2270
0.934763181411975,0.9215859030837005,0.9281277728482697,2270
0.9213339033775118,0.9493392070484582,0.9351269255803862,2270
0.938474870017331,0.9541850220264317,0.946264744429882,2270
0.9796107506950881,0.9312775330396476,0.9548328816621499,2270
0.951528384279476,0.9599118942731277,0.9557017543859649,2270
0.9519020550940096,0.9590308370044053,0.955453149001536,2270
0.9625668449197861,0.9515418502202643,0.9570225963668586,2270
0.976513098464318,0.9524229074889868,0.9643175735950045,2270
0.9521510096575944,0.9555066079295155,0.953825857519789,2270
0.9123817359111477,0.9770925110132158,0.9436290151031695,2270
0.920997920997921,0.9757709251101322,0.9475935828877006,2270
0.9694013303769401,0.9629955947136564,0.9661878453038675,2270
0.9397387273493468,0.9823788546255506,0.9605858281283652,2270
0.9859154929577465,0.9559471365638766,0.9707000670990829,2270
