precision,recall,f1_score,support
0.9655055799797092,0.8596808190304125,0.9095253265371136,3321
0.9469132120489114,0.9560373381511593,0.9514534012586154,3321
0.9646371463714637,0.9445950015055706,0.9545108778335616,3321
0.9683216570210174,0.9572417946401687,0.9627498485766202,3321
0.9545586950189339,0.9867509786208973,0.9703879182706544,3321
0.9724325961829748,0.966576332429991,0.9694956206584112,3321
0.9718523002421308,0.9668774465522433,0.9693584905660377,3321
0.9671347475351061,0.974706413730804,0.9709058188362327,3321
0.9680189517323068,0.9843420656428786,0.9761122723200955,3321
0.9695140356172653,0.9671785606744956,0.968344889960808,3321
0.9835443037974684,0.935862691960253,0.9591112482641568,3321
0.982736974262398,0.9427883167720567,0.9623482403565391,3321
0.9748201438848921,0.979223125564589,0.9770166741775574,3321
0.9875699192044748,0.9569406805179163,0.9720140694295764,3321
0.9705014749262537,0.9906654622101777,0.9804798092683653,3321
