precision,recall,f1_score,support
0.9701719677370263,0.9761139182361047,0.9731338726911922,6531
0.9687735706743098,0.9833103659470219,0.9759878419452888,6531
0.987378640776699,0.934313275149288,0.9601132877035637,6531
0.973456696496284,0.9826979023120502,0.9780554708930204,6531
0.9839238333073201,0.9652426887153576,0.9744937393723914,6531
0.9888906274448444,0.9676925432552442,0.9781767528246402,6531
0.9922630560928434,0.9425815342214056,0.9667844522968198,6531
0.9870250231696015,0.9784106568672485,0.9826989619377163,6531
0.9867692307692307,0.9820854386770785,0.9844217634870692,6531
0.9948105864037364,0.8805695911805237,0.9342105263157896,6531
0.9918711896201344,0.9715204409738172,0.9815903465346534,6531
0.9906381650803557,0.9721329046087889,0.9812982998454405,6531
0.9936748893105629,0.9621803705404992,0.9776740567872423,6531
0.9919889077183793,0.9859133363956515,0.9889417908155429,6531
0.9938281373635068,0.9615679069055275,0.977431906614786,6531
