precision,recall,f1_score,support
0.9315188762071993,0.9154443485763589,0.9234116623150567,2318
0.9509009009009008,0.9106988783433995,0.9303657999118555,2318
0.8392656425627576,0.9663503019844694,0.8983356727491477,2318
0.9499113475177305,0.9245038826574633,0.9370354175776126,2318
0.907043407043407,0.955565142364107,0.9306722689075629,2318
0.9141578519121237,0.9693701466781708,0.9409547738693468,2318
0.8582230623818525,0.9792924935289042,0.9147692927664719,2318
0.9406315789473684,0.9637618636755824,0.9520562539953121,2318
0.9501915708812261,0.9628990509059534,0.9565031069209343,2318
0.7457627118644068,0.9870578084555651,0.8496101002599332,2318
0.9241435562805873,0.9775668679896462,0.9501048218029349,2318
0.9254098360655738,0.9741156169111302,0.9491382934005885,2318
0.9021782178217822,0.9827437446074202,0.940739211232707,2318
0.9609838846480068,0.9775668679896462,0.9692044482463644,2318
0.9007905138339921,0.9831751509922347,0.9401815181518153,2318
