precision,recall,f1_score,support
0.9559178743961353,0.9533273110508883,0.9546208352178501,3321
0.9713316892725031,0.9488105992171033,0.95993907083016,3321
0.9652612826603325,0.9789220114423366,0.9720436537599043,3321
0.9773482331621867,0.9744052996085516,0.9758745476477684,3321
0.9807221542227662,0.9650707618187293,0.9728335103961148,3321
0.9739832535885168,0.9807286961758507,0.977344336084021,3321
0.9736283722340103,0.9671785606744956,0.9703927492447131,3321
0.9877638421535638,0.9722975007527853,0.979969650986343,3321
0.977956508787608,0.9885576633544113,0.9832285115303983,3321
0.9852365170231998,0.9846431797651309,0.9849397590361446,3321
0.9901143033673154,0.9650707618187293,0.9774321439463252,3321
0.9862151633203476,0.99096657633243,0.9885851607089218,3321
0.9878456396232148,0.9789220114423366,0.983363581367211,3321
0.9790982382800836,0.987353206865402,0.983208395802099,3321
0.9885231048021745,0.985546522131888,0.9870325693606755,3321
