precision,recall,f1_score,support
0.972518590365341,0.921145306997397,0.9461350947550524,6531
0.9606640741848639,0.9834634818557648,0.9719300900355603,6531
0.9643609022556391,0.9819323227683356,0.9730672938320309,6531
0.9750156152404748,0.9560557341907824,0.9654425976034017,6531
0.9717858776879671,0.975654570509876,0.9737163814180929,6531
0.9885243251979958,0.9364568978716888,0.9617864444094982,6531
0.9763004001231148,0.9713673250650743,0.9738276153196714,6531
0.9847667407172326,0.9502373296585516,0.9671939530896907,6531
0.9875914731148584,0.9505435614760374,0.9687134274791293,6531
0.9912559618441972,0.9546776910120962,0.9726230403244677,6531
0.9918140144073346,0.9275761751645996,0.9586201439987341,6531
0.9885472230938186,0.9647833409891288,0.976520728399845,6531
0.9863523573200993,0.973817179604961,0.9800446875722322,6531
0.9954063044511325,0.9621803705404992,0.9785113671753347,6531
0.9884348496530455,0.9814729750421068,0.984941610325753,6531
